	mixname	sr	samples
0	mixotic-set044-excerpts/mixes/set044mix3-none-bass-00.mp3	44100	4721664
1	mixotic-set044-excerpts/mixes/set044mix3-none-bass-01.mp3	44100	4774912
2	mixotic-set044-excerpts/mixes/set044mix3-none-bass-02.mp3	44100	4719616
3	mixotic-set044-excerpts/mixes/set044mix3-none-bass-03.mp3	44100	4713472
4	mixotic-set044-excerpts/mixes/set044mix3-none-bass-04.mp3	44100	4652032
5	mixotic-set044-excerpts/mixes/set044mix3-none-bass-05.mp3	44100	4516864
6	mixotic-set044-excerpts/mixes/set044mix3-none-bass-06.mp3	44100	4613120
7	mixotic-set044-excerpts/mixes/set044mix3-none-bass-07.mp3	44100	4526080
8	mixotic-set044-excerpts/mixes/set044mix3-none-bass-08.mp3	44100	4470784
9	mixotic-set044-excerpts/mixes/set044mix3-none-bass-09.mp3	44100	4481024
10	mixotic-set044-excerpts/mixes/set044mix3-none-bass-10.mp3	44100	4561920
11	mixotic-set044-excerpts/mixes/set044mix3-none-bass-11.mp3	44100	4638720
12	mixotic-set044-excerpts/mixes/set044mix3-none-bass-12.mp3	44100	4655104
13	mixotic-set044-excerpts/mixes/set044mix3-none-bass-13.mp3	44100	4666368
14	mixotic-set044-excerpts/mixes/set044mix3-none-bass-14.mp3	44100	4572160
15	mixotic-set044-excerpts/mixes/set044mix3-none-bass-15.mp3	44100	4604928
16	mixotic-set044-excerpts/mixes/set044mix3-none-bass-16.mp3	44100	4512768
17	mixotic-set044-excerpts/mixes/set044mix3-none-bass-17.mp3	44100	4592640
18	mixotic-set044-excerpts/mixes/set044mix3-none-bass-18.mp3	44100	4595712
19	mixotic-set044-excerpts/mixes/set044mix3-none-bass-19.mp3	44100	4661248
20	mixotic-set044-excerpts/mixes/set044mix3-none-bass-20.mp3	44100	4645888
21	mixotic-set044-excerpts/mixes/set044mix3-none-bass-21.mp3	44100	4583424
22	mixotic-set044-excerpts/mixes/set044mix3-none-bass-22.mp3	44100	4618240
