	trackname	sr	samples
0	mixotic-set044-excerpts/refsongs/pntg001-02-charles_tone-she_had_an_idea.excerpt40.mp3	44100	1997824
1	mixotic-set044-excerpts/refsongs/pntg001-03-ludwig_coenen-l5.excerpt40.mp3	44100	2103296
2	mixotic-set044-excerpts/refsongs/pntg001-04-demir-you_got_it.excerpt40.mp3	44100	2043904
3	mixotic-set044-excerpts/refsongs/pntg001-05-kairos-no_more_acid.excerpt40.mp3	44100	2150400
4	mixotic-set044-excerpts/refsongs/pntg001-06-liam_o_leary_and_heyden-rock_the_boat.excerpt40.mp3	44100	1956864
5	mixotic-set044-excerpts/refsongs/pntg001-07-mabik-deep_house.excerpt40.mp3	44100	2200576
6	mixotic-set044-excerpts/refsongs/pntg001-08-kareem-fuck_the_rack_on.excerpt40.mp3	44100	2055168
7	mixotic-set044-excerpts/refsongs/pntg001-09-cint-bluescreen.excerpt40.mp3	44100	1903616
8	mixotic-set044-excerpts/refsongs/pntg003-01-ludwig_coenen-night_in.excerpt40.mp3	44100	2116608
9	mixotic-set044-excerpts/refsongs/pntg003-02-ludwig_coenen-pearling.excerpt40.mp3	44100	1951744
10	mixotic-set044-excerpts/refsongs/pntg003-03-ludwig_coenen-towerblock.excerpt40.mp3	44100	1939456
11	mixotic-set044-excerpts/refsongs/pntg003-04-ludwig_coenen_and_kareem-litchy_licker.excerpt40.mp3	44100	2014208
12	mixotic-set044-excerpts/refsongs/pntg005-01-kairos-spaced_out.excerpt40.mp3	44100	1993728
13	mixotic-set044-excerpts/refsongs/pntg005-02-kairos-the_recurrence.excerpt40.mp3	44100	1993728
14	mixotic-set044-excerpts/refsongs/pntg005-03-kairos-on_the_run.excerpt40.mp3	44100	2071552
15	mixotic-set044-excerpts/refsongs/pntg005-04-kairos-nostalgia.excerpt40.mp3	44100	2003968
16	mixotic-set044-excerpts/refsongs/pntg006-01-charles_tone-die_nacht_auf_dem_meer.excerpt40.mp3	44100	1987584
17	mixotic-set044-excerpts/refsongs/pntg006-02-charles_tone-geister_der_alten_welt.excerpt40.mp3	44100	1985536
18	mixotic-set044-excerpts/refsongs/pntg006-03-charles_tone-das_haus_im_wald.excerpt40.mp3	44100	1884160
19	mixotic-set044-excerpts/refsongs/pntg006-04-charles_tone-sie_tanzte_nur_einen_sommer.excerpt40.mp3	44100	2021376
20	mixotic-set044-excerpts/refsongs/pntg007-01-demir_feat._jesse-dance_away.excerpt40.mp3	44100	2011136
21	mixotic-set044-excerpts/refsongs/pntg007-02-demir-cano.excerpt40.mp3	44100	1965056
22	mixotic-set044-excerpts/refsongs/pntg007-03-demir-fist_of_tequeneek.excerpt40.mp3	44100	2031616
23	mixotic-set044-excerpts/refsongs/pntg007-04-demir-dreamer.excerpt40.mp3	44100	2007040
24	mixotic-set044-excerpts/refsongs/pntg009-04-kareem_and_ludwig_coenen-kick_buddies.excerpt40.mp3	44100	1973248
25	mixotic-set044-excerpts/refsongs/pntg010-01-ludwig_coenen-jiggy_grain.excerpt40.mp3	44100	1990656
26	mixotic-set044-excerpts/refsongs/pntg010-02-ludwig_coenen-kula_lumpur.excerpt40.mp3	44100	2013184
27	mixotic-set044-excerpts/refsongs/pntg010-03-ludwig_coenen-system_failure.excerpt40.mp3	44100	2009088
28	mixotic-set044-excerpts/refsongs/pntg010-04-ludwig_coenen-get_jets.excerpt40.mp3	44100	2084864
29	mixotic-set044-excerpts/refsongs/pntg011-01-charles_tone-am_morgen_nach_dem_sturm.excerpt40.mp3	44100	2062336
30	mixotic-set044-excerpts/refsongs/pntg011-02-charles_tone-mit_einem_handtuch_am_anhalter_bhf.excerpt40.mp3	44100	2068480
31	mixotic-set044-excerpts/refsongs/pntg011-03-charles_tone-wenn_sie_die_sonnensegel_setzen.excerpt40.mp3	44100	1978368
32	mixotic-set044-excerpts/refsongs/pntg011-04-charles_tone-she_had-an_idea_item_no-rmx.excerpt40.mp3	44100	1990656
33	mixotic-set044-excerpts/refsongs/pntg012-01-francesco_tarallo-kingston.excerpt40.mp3	44100	2050048
34	mixotic-set044-excerpts/refsongs/pntg012-02-erich_lesovsky-j.o..excerpt40.mp3	44100	2028544
