	mixname	sr	samples
0	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-00.mp3	44100	4721664
1	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-01.mp3	44100	4774912
2	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-02.mp3	44100	4719616
3	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-03.mp3	44100	4713472
4	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-04.mp3	44100	4652032
5	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-05.mp3	44100	4516864
6	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-06.mp3	44100	4613120
7	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-07.mp3	44100	4526080
8	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-08.mp3	44100	4470784
9	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-09.mp3	44100	4481024
10	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-10.mp3	44100	4561920
11	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-11.mp3	44100	4638720
12	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-12.mp3	44100	4655104
13	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-13.mp3	44100	4666368
14	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-14.mp3	44100	4572160
15	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-15.mp3	44100	4604928
16	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-16.mp3	44100	4512768
17	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-17.mp3	44100	4592640
18	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-18.mp3	44100	4595712
19	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-19.mp3	44100	4661248
20	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-20.mp3	44100	4645888
21	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-21.mp3	44100	4583424
22	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-22.mp3	44100	4618240
23	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-23.mp3	44100	4566016
24	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-24.mp3	44100	4571136
25	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-25.mp3	44100	4605952
26	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-26.mp3	44100	4688896
27	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-27.mp3	44100	4697088
28	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-28.mp3	44100	4669440
29	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-29.mp3	44100	4642816
30	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-30.mp3	44100	4627456
31	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-31.mp3	44100	4636672
32	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-32.mp3	44100	4649984
33	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-33.mp3	44100	4610048
34	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-34.mp3	44100	4684800
35	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-35.mp3	44100	4647936
36	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-36.mp3	44100	4529152
37	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-37.mp3	44100	4540416
38	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-38.mp3	44100	4550656
39	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-39.mp3	44100	4483072
40	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-40.mp3	44100	4471808
41	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-41.mp3	44100	4530176
42	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-42.mp3	44100	4541440
43	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-bass-43.mp3	44100	4721664
44	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-00.mp3	44100	4721664
45	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-01.mp3	44100	4774912
46	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-02.mp3	44100	4719616
47	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-03.mp3	44100	4713472
48	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-04.mp3	44100	4652032
49	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-05.mp3	44100	4516864
50	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-06.mp3	44100	4613120
51	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-07.mp3	44100	4526080
52	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-08.mp3	44100	4470784
53	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-09.mp3	44100	4481024
54	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-10.mp3	44100	4561920
55	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-11.mp3	44100	4638720
56	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-12.mp3	44100	4655104
57	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-13.mp3	44100	4666368
58	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-14.mp3	44100	4572160
59	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-15.mp3	44100	4604928
60	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-16.mp3	44100	4512768
61	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-17.mp3	44100	4592640
62	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-18.mp3	44100	4595712
63	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-19.mp3	44100	4661248
64	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-20.mp3	44100	4645888
65	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-21.mp3	44100	4583424
66	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-22.mp3	44100	4618240
67	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-23.mp3	44100	4566016
