	mixname	trackpos	trackname
0	mixotic-set044-excerpts/mixes/set044mix3-none-bass-00.mp3	1	pntg001-02-charles_tone-she_had_an_idea.excerpt40.mp3
1	mixotic-set044-excerpts/mixes/set044mix3-none-bass-00.mp3	2	pntg001-03-ludwig_coenen-l5.excerpt40.mp3
2	mixotic-set044-excerpts/mixes/set044mix3-none-bass-00.mp3	3	pntg001-04-demir-you_got_it.excerpt40.mp3
3	mixotic-set044-excerpts/mixes/set044mix3-none-bass-01.mp3	1	pntg001-03-ludwig_coenen-l5.excerpt40.mp3
4	mixotic-set044-excerpts/mixes/set044mix3-none-bass-01.mp3	2	pntg001-04-demir-you_got_it.excerpt40.mp3
5	mixotic-set044-excerpts/mixes/set044mix3-none-bass-01.mp3	3	pntg001-05-kairos-no_more_acid.excerpt40.mp3
6	mixotic-set044-excerpts/mixes/set044mix3-none-bass-02.mp3	1	pntg001-04-demir-you_got_it.excerpt40.mp3
7	mixotic-set044-excerpts/mixes/set044mix3-none-bass-02.mp3	2	pntg001-05-kairos-no_more_acid.excerpt40.mp3
8	mixotic-set044-excerpts/mixes/set044mix3-none-bass-02.mp3	3	pntg001-06-liam_o_leary_and_heyden-rock_the_boat.excerpt40.mp3
9	mixotic-set044-excerpts/mixes/set044mix3-none-bass-03.mp3	1	pntg001-05-kairos-no_more_acid.excerpt40.mp3
10	mixotic-set044-excerpts/mixes/set044mix3-none-bass-03.mp3	2	pntg001-06-liam_o_leary_and_heyden-rock_the_boat.excerpt40.mp3
11	mixotic-set044-excerpts/mixes/set044mix3-none-bass-03.mp3	3	pntg001-07-mabik-deep_house.excerpt40.mp3
12	mixotic-set044-excerpts/mixes/set044mix3-none-bass-04.mp3	1	pntg001-06-liam_o_leary_and_heyden-rock_the_boat.excerpt40.mp3
13	mixotic-set044-excerpts/mixes/set044mix3-none-bass-04.mp3	2	pntg001-07-mabik-deep_house.excerpt40.mp3
14	mixotic-set044-excerpts/mixes/set044mix3-none-bass-04.mp3	3	pntg001-08-kareem-fuck_the_rack_on.excerpt40.mp3
15	mixotic-set044-excerpts/mixes/set044mix3-none-bass-05.mp3	1	pntg001-07-mabik-deep_house.excerpt40.mp3
16	mixotic-set044-excerpts/mixes/set044mix3-none-bass-05.mp3	2	pntg001-08-kareem-fuck_the_rack_on.excerpt40.mp3
17	mixotic-set044-excerpts/mixes/set044mix3-none-bass-05.mp3	3	pntg001-09-cint-bluescreen.excerpt40.mp3
18	mixotic-set044-excerpts/mixes/set044mix3-none-bass-06.mp3	1	pntg001-08-kareem-fuck_the_rack_on.excerpt40.mp3
